id,ticker,trade_date,close_price
4979,SPY,2026-04-01,655.24
4980,SPY,2026-04-02,655.83
4981,SPY,2026-04-06,658.93
4982,SPY,2026-04-07,659.22
4983,SPY,2026-04-08,676.01
4984,SPY,2026-04-09,679.91
4985,SPY,2026-04-10,679.46
4986,SPY,2026-04-13,686.1
4987,SPY,2026-04-14,694.46
4988,SPY,2026-04-15,699.94
4989,SPY,2026-04-16,701.66
4990,SPY,2026-04-17,710.14
4991,SPY,2026-04-20,708.72
4992,SPY,2026-04-21,704.08
4993,SPY,2026-04-22,711.21
4994,SPY,2026-04-23,708.45
4995,SPY,2026-04-24,713.94
4996,SPY,2026-04-27,715.17
4997,SPY,2026-04-28,711.69
4998,SPY,2026-04-29,711.58
4999,SPY,2026-04-30,718.66
5000,SPY,2026-05-01,720.65
5001,SPY,2026-05-04,718.01
5002,SPY,2026-05-05,723.77
5003,SPY,2026-05-06,733.83
5004,SPY,2026-05-07,731.58
5005,SPY,2026-05-08,737.62
5006,SPY,2026-05-11,739.3
5007,SPY,2026-05-12,738.18
5008,SPY,2026-05-13,742.31
5009,SPY,2026-05-14,748.17
5010,SPY,2026-05-15,739.17
5011,SPY,2026-05-18,738.65
5012,SPY,2026-05-19,733.73
5013,SPY,2026-05-20,741.25
5014,SPY,2026-05-21,742.72
5015,SPY,2026-05-22,745.64
5016,SPY,2026-05-26,750.59
